commune_nom,INSEE,pop,donnesgeo,area,elevation,blason
Gif-sur-Yvette,91272,21379,Point(2.133611111 48.701388888),11.6,61,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gif-sur-Yvette%20%28Essonne%29.svg
Saint-Jean-de-Maurienne,73248,7746,Point(6.345 45.276666666),11.51,566,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Jean-de-Maurienne%20%28Savoie%29.svg
La Seyne-sur-Mer,83126,63936,Point(5.878333333 43.103055555),22.17,9,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20La-Seyne-sur-Mer.svg
Saint-Ouen-sur-Seine,93070,51108,Point(2.333055555 48.906944444),4.31,35,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Saint-Ouen-sur-Seine.svg
Bourgoin-Jallieu,38053,28387,Point(5.279166666 45.590833333),24.37,254,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Bourgoin%20Jallieu.svg
Cachan,94016,31069,Point(2.331944444 48.791944444),2.74,45,http://commons.wikimedia.org/wiki/Special:FilePath/Heraldique%20blason%20ville%20fr%20cachan.svg
Andernos-les-Bains,33005,11645,Point(-1.090277777 44.7425),20.01,4,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Andernos-les-Bains%20%28Gironde%29.svg
Domrémy-la-Pucelle,88154,104,Point(5.675 48.4425),8.99,387,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Domr%C3%A9my%20la%20pucelle.svg
Chalamont,01074,2451,Point(5.171111111 45.996111111),32.88,291,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Chalamont%20%28Ain%29.svg
Pantin,93055,57482,Point(2.407222222 48.898055555),5.01,50,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pantin%20%28Seine-Saint-Denis%29.svg
Bar-sur-Aube,10033,4902,Point(4.706388888 48.233055555),16.27,166,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Bar-sur-Aube.svg
Saint-Amand-Montrond,18197,9437,Point(2.505 46.722777777),20.17,148,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Amand-Montrond%20%28Cher%29.svg
Plaintel,22171,4344,Point(-2.818333333 48.408055555),26.76,243,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Plaintel%20%28C%C3%B4tesArmor%29.svg
Les Andelys,27016,8056,Point(1.411666666 49.245555555),40.62,23,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Les%20Andelys%20%28Eure%29.svg
Pleugriffet,56160,1272,Point(-2.685833333 47.989444444),38.49,100,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pleugriffet%20%28Morbihan%29.svg
Sainte-Brigitte,56209,177,Point(-3.129166666 48.1625),17.74,220,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Sainte-Brigitte%20%28Morbihan%29.svg
Flogny-la-Chapelle,89169,1029,Point(3.872222222 47.9525),23.75,150,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Flogny-la-Chapelle%20%28Yonne%29.svg
Réguiny,56190,1992,Point(-2.746111111 47.976666666),27.92,107,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20R%C3%A9guiny%20%28Morbihan%29.svg
La Trinité-Surzur,56259,1611,Point(-2.594722222 47.604722222),2.3,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Trinit%C3%A9-Surzur%20%28Morbihan%29.svg
Plescop,56158,5854,Point(-2.806111111 47.698888888),23.35,50,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Plescop%20%28Morbihan%29.svg
La Vraie-Croix,56261,1471,Point(-2.542777777 47.689722222),16.63,118,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Vraie-Croix%20%28Morbihan%29.svg
Saint-Avé,56206,11642,Point(-2.734444444 47.686666666),26.09,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Av%C3%A9%20%28Morbihan%29.svg
Séné,56243,8947,Point(-2.737222222 47.619722222),19.94,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20S%C3%A9n%C3%A9%20%28Morbihan%29.svg
Saint-Gravé,56218,730,Point(-2.280833333 47.725833333),15.75,75,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Grav%C3%A9%20%28Morbihan%29.svg
Saint-Malo-de-Beignon,56226,511,Point(-2.149722222 47.958888888),3.49,65,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Malo-de-Beignon%20%28Morbihan%29.svg
Néant-sur-Yvel,56145,1087,Point(-2.329166666 48.013611111),32.3,65,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20N%C3%A9ant-sur-Yvel%20%28Morbihan%29.svg
Port-Louis,56181,2618,Point(-3.353333333 47.706666666),1.07,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Port-Louis%20%28Morbihan%29.svg
Rochefort-en-Terre,56196,632,Point(-2.336666666 47.699444444),1.22,50,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Rochefort-en-Terre%20%28Morbihan%29.svg
Pont-Scorff,56179,3744,Point(-3.403055555 47.834166666),23.5,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pont-Scorff%20%28Morbihan%29.svg
Pont-Scorff,56179,3744,Point(-3.40251 47.83343),23.5,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pont-Scorff%20%28Morbihan%29.svg
Sérent,56244,3089,Point(-2.505833333 47.823055555),59.67,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20S%C3%A9rent%20%28Morbihan%29.svg
Péaule,56153,2682,Point(-2.356111111 47.581944444),39.25,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20P%C3%A9aule%20%28Morbihan%29.svg
Sainte-Colombe,89339,200,Point(3.969166666 47.566666666),18.48,270,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Sainte-Colombe%20%28Yonne%29.svg
Saint-Malo-des-Trois-Fontaines,56227,568,Point(-2.471944444 48.013055555),16.19,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Malo-des-Trois-Fontaines%20%28Morbihan%29.svg
Peillac,56154,1858,Point(-2.219166666 47.713333333),24.57,68,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Peillac%20%28Morbihan%29.svg
Porcaro,56180,722,Point(-2.198611111 47.909722222),15.73,60,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Porcaro%20%28Morbihan%29.svg
Villejuif,94076,54753,Point(2.361111111 48.793888888),5.34,90,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Villejuif%2094.svg
